epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,13072.8,0.42412,0.04745,0.0212,0.27864,0.98981,0.99595,0.99171,0.99419,0.93492,0.99625,0.99224,0.99433,0.99363,0.4114,0.02755,0.0005,0.19342,0.97627,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,13320.3,0.42037,0.04628,0.02159,0.27697,0.98651,0.99552,0.99176,0.99428,0.93313,0.99648,0.99203,0.99438,0.99385,0.42546,0.0268,0.00041,0.18777,0.98265,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,13568,0.41853,0.04653,0.02004,0.27464,0.98389,0.99523,0.99302,0.99436,0.93495,0.99562,0.99346,0.99446,0.99393,0.41875,0.02714,0.00028,0.19313,0.98409,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,13815.4,0.4201,0.04473,0.02039,0.27683,0.98665,0.99605,0.99247,0.99429,0.93588,0.9964,0.99282,0.9944,0.99379,0.417,0.02761,0.00034,0.19876,0.97855,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,14063.8,0.41492,0.04377,0.01978,0.27167,0.98482,0.99611,0.99259,0.99431,0.93659,0.99649,0.99311,0.99442,0.99389,0.39549,0.02742,0.00037,0.18818,0.97071,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,14312.6,0.41198,0.04313,0.01902,0.27113,0.98219,0.99701,0.99227,0.99424,0.93755,0.99736,0.99265,0.99441,0.99385,0.40937,0.02722,0.0004,0.18814,0.97651,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,14560.8,0.41329,0.04391,0.01818,0.26995,0.98289,0.99502,0.99373,0.99432,0.9365,0.99562,0.9938,0.99443,0.99391,0.40464,0.02802,0.0008,0.18392,0.97412,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,14808,0.4115,0.04262,0.01829,0.26894,0.97941,0.9965,0.99233,0.99425,0.93629,0.99681,0.99259,0.99432,0.99381,0.40851,0.02723,0.00049,0.18943,0.97283,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,15054.9,0.40564,0.04175,0.01915,0.26637,0.98163,0.99745,0.99241,0.99438,0.93999,0.99771,0.99267,0.99443,0.99399,0.40538,0.02679,0.00036,0.18642,0.97845,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,15302.6,0.40559,0.04233,0.0198,0.26389,0.97866,0.99714,0.99233,0.99445,0.9387,0.9974,0.99259,0.99451,0.99402,0.37761,0.02675,0.00034,0.18629,0.96092,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
